Comment,cleaned_comment,Sentiment
its ugly,ugly,Negative
They missed the ball with this one.,"missed, ball, one",Negative
It is a piece of crap.,"piece, crap",Negative
not to be hater on eletric cars but i would take any porsche over a cybertruck. that is one of ugliest cars I've ever seen.,"hater, eletric, car, would, take, porsche, cybertruck, one, ugliest, car, ive, ever, seen",Negative
"Man, where did you take it?? On a tour of local trap houses??","man, take, tour, local, trap, house",Negative
"I drive a pos VW beetle. Every day someone takes a photo, and the worst thing is someone ALWAYS wants to talk about it. Kids punching each other. Not that big of a deal. With that being said, I saw a cybertruck once here in the middle of nowhere, they are not as bad looking in real life.","drive, po, vw, beetle, every, day, someone, take, photo, worst, thing, someone, always, want, talk, kid, punching, big, deal, said, saw, cybertruck, middle, nowhere, bad, looking, real, life",Negative
If I won a lottery I would buy @ cybertruck I was impressed by its demo kuz before in car accidents the glass would cut and deform human face or body but with the demo we do see that it does get in breaking point but with less risk that the passenger gets disfigured,"lottery, would, buy, cybertruck, impressed, demo, kuz, car, accident, glass, would, cut, deform, human, face, body, demo, see, get, breaking, point, le, risk, passenger, get, disfigured",Negative
"Hey Tesla, next time if you're going to make an extended battery, how about make it a whole flat bed battery as thin as you can and getting the same range step pack so it doesn't even look like a battery and it doesn't take up the space so you can't use it","hey, tesla, next, time, youre, going, make, extended, battery, make, whole, flat, bed, battery, thin, getting, range, step, pack, doesnt, even, look, like, battery, doesnt, take, space, cant, use",Negative
"This truck has been destroyed on durability tests.
Tesla truly is the Apple of cars, shiny stuff, but horrible consumer practices, and unpractical and disposable products","truck, destroyed, durability, test, tesla, truly, apple, car, shiny, stuff, horrible, consumer, practice, unpractical, disposable, product",Negative
Didn't realize you were a Musk fanboy. This came across as very biased as you ignored so many issues the truck has.,"didnt, realize, musk, fanboy, came, across, biased, ignored, many, issue, truck",Negative
"I will never care about even the best of sound systems, accelaration, looks, steering in a car
if at the same time it is a safety disaster.
This isn't a phone, your choice of vehicle can endanger your AND OTHER PEOPLE'S lifes.
Crumple zones are important. In a crash you won't win, your car will. It might not be totalled (at least from the outside) but you will be.
This needs to be adressed.","never, care, even, best, sound, system, accelaration, look, steering, car, time, safety, disaster, isnt, phone, choice, vehicle, endanger, people, life, crumple, zone, important, crash, wont, win, car, might, totalled, least, outside, need, adressed",Negative
Your annoying,annoying,Negative
Absolutely disgusting 🤢 Tesla cars just all look pretty much awful tbh,"absolutely, disgusting, tesla, car, look, pretty, much, awful, tbh",Negative
Not gonna lie. I went crazy when i first seen one on the road,"gon, na, lie, went, crazy, first, seen, one, road",Negative
