Comment,cleaned_comment,Sentiment
Fisher Skyway,"fisher, skyway",Neutral
its not iconic. all it does is let you know the person driving its is a tool,"iconic, let, know, person, driving, tool",Neutral
Lewis Michelle Robinson John Davis Patricia,"lewis, michelle, robinson, john, davis, patricia",Neutral
48 volt electronics > 12 volt electronics,"volt, electronics, volt, electronics",Neutral
Jackson Jessica Walker David Clark Charles,"jackson, jessica, walker, david, clark, charles",Neutral
Harris Brian Hall Mark Harris Timothy,"harris, brian, hall, mark, harris, timothy",Neutral
Johnson Carol Garcia Eric Wilson Mark,"johnson, carol, garcia, eric, wilson, mark",Neutral
Williams Jose Lewis Karen Lee Christopher,"williams, jose, lewis, karen, lee, christopher",Neutral
Garcia Maria Hernandez William Harris Anna,"garcia, maria, hernandez, william, harris, anna",Neutral
Hermina Squares,"hermina, square",Neutral
Harris Michael Miller Robert Taylor Helen,"harris, michael, miller, robert, taylor, helen",Neutral
Martin Steven Walker Anna Harris Carol,"martin, steven, walker, anna, harris, carol",Neutral
Miller Deborah Johnson Barbara Lopez Michelle,"miller, deborah, johnson, barbara, lopez, michelle",Neutral
Walker Paul Lewis Gary Walker Maria,"walker, paul, lewis, gary, walker, maria",Neutral
Young Michael Davis Angela Lopez Mary,"young, michael, davis, angela, lopez, mary",Neutral
Lopez George Miller Joseph Brown David,"lopez, george, miller, joseph, brown, david",Neutral
Martinez Susan Young Steven Martinez Jennifer,"martinez, susan, young, steven, martinez, jennifer",Neutral
White Brenda Davis Daniel Miller Anna,"white, brenda, davis, daniel, miller, anna",Neutral
Walker Christopher Brown Scott Lopez Kenneth,"walker, christopher, brown, scott, lopez, kenneth",Neutral
Young Joseph Davis Sarah Jones Deborah,"young, joseph, davis, sarah, jones, deborah",Neutral
Davis Helen Martin Nancy Davis Sandra,"davis, helen, martin, nancy, davis, sandra",Neutral
Lee Melissa Moore Elizabeth Williams George,"lee, melissa, moore, elizabeth, williams, george",Neutral
Garcia John Miller Eric Gonzalez Anna,"garcia, john, miller, eric, gonzalez, anna",Neutral
Martin David Robinson Mary Lewis Anna,"martin, david, robinson, mary, lewis, anna",Neutral
White Jessica Smith Barbara Martinez Scott,"white, jessica, smith, barbara, martinez, scott",Neutral
Barney Groves,"barney, grove",Neutral
Gonzalez Eric Hernandez Thomas Young Anna,"gonzalez, eric, hernandez, thomas, young, anna",Neutral
Hall Sarah Robinson Jennifer Thompson Elizabeth,"hall, sarah, robinson, jennifer, thompson, elizabeth",Neutral
Lopez Joseph Garcia Deborah Martin Donald,"lopez, joseph, garcia, deborah, martin, donald",Neutral
Garcia Maria Lewis Donna Jackson Kimberly,"garcia, maria, lewis, donna, jackson, kimberly",Neutral
Johnson Eric Perez Barbara Gonzalez Charles,"johnson, eric, perez, barbara, gonzalez, charles",Neutral
Anderson Ronald Moore Nancy Taylor Brenda,"anderson, ronald, moore, nancy, taylor, brenda",Neutral
Walker Jason White Edward Martinez Shirley,"walker, jason, white, edward, martinez, shirley",Neutral
Perez Daniel Taylor Angela Moore Jeffrey,"perez, daniel, taylor, angela, moore, jeffrey",Neutral
Miller Timothy Thomas Kimberly Taylor Donna,"miller, timothy, thomas, kimberly, taylor, donna",Neutral
Robinson Christopher Clark Donald Gonzalez Nancy,"robinson, christopher, clark, donald, gonzalez, nancy",Neutral
Berry Plain,"berry, plain",Neutral
Moore Michelle Moore Kimberly Perez Patricia,"moore, michelle, moore, kimberly, perez, patricia",Neutral
Thompson Jennifer Thompson Margaret Hernandez Larry,"thompson, jennifer, thompson, margaret, hernandez, larry",Neutral
Martinez Gary Wilson David Lopez Donna,"martinez, gary, wilson, david, lopez, donna",Neutral
Davis Angela Harris Betty Hall Gary,"davis, angela, harris, betty, hall, gary",Neutral
Johnson Mary White Jessica Wilson George,"johnson, mary, white, jessica, wilson, george",Neutral
Lopez Jose Martinez Jeffrey Brown Angela,"lopez, jose, martinez, jeffrey, brown, angela",Neutral
Thompson Angela Allen Jason Jackson Shirley,"thompson, angela, allen, jason, jackson, shirley",Neutral
Walker Matthew Allen Linda Martinez Kenneth,"walker, matthew, allen, linda, martinez, kenneth",Neutral
Smith Barbara Allen Patricia Hernandez Michael,"smith, barbara, allen, patricia, hernandez, michael",Neutral
Walker Patricia Miller Richard Harris Amy,"walker, patricia, miller, richard, harris, amy",Neutral
Thompson Cynthia Lee Eric Miller Deborah,"thompson, cynthia, lee, eric, miller, deborah",Neutral
Jones Donna Robinson Carol Wilson Ronald,"jones, donna, robinson, carol, wilson, ronald",Neutral
