Comment,cleaned_comment,Sentiment
Lmao you can do the same with pretty much just about any piece of advanced technology like a moth to a flame,"lmao, pretty, much, piece, advanced, technology, like, moth, flame",Positive
It looks like a car homer simpson would make....you know that one episode where they pushed a whole load of cash into designing his own car and when it was complete it looked like a garbage can on wheels? 😂😂,"look, like, car, homer, simpson, would, makeyou, know, one, episode, pushed, whole, load, cash, designing, car, complete, looked, like, garbage, wheel",Positive
"It’s cute, and looks fun.","cute, look, fun",Positive
Fisher Skyway,"fisher, skyway",Positive
This review is so obviously paid by Tesla that's not even funny,"review, obviously, paid, tesla, thats, even, funny",Positive
its not iconic. all it does is let you know the person driving its is a tool,"iconic, let, know, person, driving, tool",Positive
"After so many struggles I now have a new house, and my family is happy once again. Everything is finally falling into place!!","many, struggle, new, house, family, happy, everything, finally, falling, place",Positive
Lewis Michelle Robinson John Davis Patricia,"lewis, michelle, robinson, john, davis, patricia",Positive
I think it looks great,"think, look, great",Positive
"I'm not entirely sure the term ""visually interesting"" applies to anything here...","im, entirely, sure, term, visually, interesting, applies, anything",Positive
48 volt electronics > 12 volt electronics,"volt, electronics, volt, electronics",Positive
Jackson Jessica Walker David Clark Charles,"jackson, jessica, walker, david, clark, charles",Positive
Harris Brian Hall Mark Harris Timothy,"harris, brian, hall, mark, harris, timothy",Positive
Got to give credit for the rookies designers to go back to Stunts game and make an exact copy of the car in the game.,"got, give, credit, rookie, designer, go, back, stunt, game, make, exact, copy, car, game",Positive
Johnson Carol Garcia Eric Wilson Mark,"johnson, carol, garcia, eric, wilson, mark",Positive
Williams Jose Lewis Karen Lee Christopher,"williams, jose, lewis, karen, lee, christopher",Positive
Garcia Maria Hernandez William Harris Anna,"garcia, maria, hernandez, william, harris, anna",Positive
Hermina Squares,"hermina, square",Positive
Harris Michael Miller Robert Taylor Helen,"harris, michael, miller, robert, taylor, helen",Positive
Martin Steven Walker Anna Harris Carol,"martin, steven, walker, anna, harris, carol",Positive
Miller Deborah Johnson Barbara Lopez Michelle,"miller, deborah, johnson, barbara, lopez, michelle",Positive
Walker Paul Lewis Gary Walker Maria,"walker, paul, lewis, gary, walker, maria",Positive
Young Michael Davis Angela Lopez Mary,"young, michael, davis, angela, lopez, mary",Positive
Lopez George Miller Joseph Brown David,"lopez, george, miller, joseph, brown, david",Positive
Martinez Susan Young Steven Martinez Jennifer,"martinez, susan, young, steven, martinez, jennifer",Positive
White Brenda Davis Daniel Miller Anna,"white, brenda, davis, daniel, miller, anna",Positive
Walker Christopher Brown Scott Lopez Kenneth,"walker, christopher, brown, scott, lopez, kenneth",Positive
Young Joseph Davis Sarah Jones Deborah,"young, joseph, davis, sarah, jones, deborah",Positive
i live in fuckass nowhere texas and there is one (1) single cybertruck that drives around. i'm convinced its the same person because i refuse to accept the idea of multiple people owning a cybertruck in fuckass nowhere texas. it feels like a monster creeping up in me whenever i see it in my rearview,"live, fuckass, nowhere, texas, one, single, cybertruck, drive, around, im, convinced, person, refuse, accept, idea, multiple, people, owning, cybertruck, fuckass, nowhere, texas, feel, like, monster, creeping, whenever, see, rearview",Positive
Davis Helen Martin Nancy Davis Sandra,"davis, helen, martin, nancy, davis, sandra",Positive
Lee Melissa Moore Elizabeth Williams George,"lee, melissa, moore, elizabeth, williams, george",Positive
Garcia John Miller Eric Gonzalez Anna,"garcia, john, miller, eric, gonzalez, anna",Positive
Martin David Robinson Mary Lewis Anna,"martin, david, robinson, mary, lewis, anna",Positive
White Jessica Smith Barbara Martinez Scott,"white, jessica, smith, barbara, martinez, scott",Positive
Barney Groves,"barney, grove",Positive
Gonzalez Eric Hernandez Thomas Young Anna,"gonzalez, eric, hernandez, thomas, young, anna",Positive
Hall Sarah Robinson Jennifer Thompson Elizabeth,"hall, sarah, robinson, jennifer, thompson, elizabeth",Positive
Lopez Joseph Garcia Deborah Martin Donald,"lopez, joseph, garcia, deborah, martin, donald",Positive
Iconic more like ironic,"iconic, like, ironic",Positive
Garcia Maria Lewis Donna Jackson Kimberly,"garcia, maria, lewis, donna, jackson, kimberly",Positive
Johnson Eric Perez Barbara Gonzalez Charles,"johnson, eric, perez, barbara, gonzalez, charles",Positive
Anderson Ronald Moore Nancy Taylor Brenda,"anderson, ronald, moore, nancy, taylor, brenda",Positive
Walker Jason White Edward Martinez Shirley,"walker, jason, white, edward, martinez, shirley",Positive
Perez Daniel Taylor Angela Moore Jeffrey,"perez, daniel, taylor, angela, moore, jeffrey",Positive
Miller Timothy Thomas Kimberly Taylor Donna,"miller, timothy, thomas, kimberly, taylor, donna",Positive
"True Story: Emerging from a Santana concert late night this summer to a large parking lot, not inebriated btw, I noticed a dumpster near where we had parked. As we  approached, we died laughing. It was the Cybertruck!","true, story, emerging, santana, concert, late, night, summer, large, parking, lot, inebriated, btw, noticed, dumpster, near, parked, approached, died, laughing, cybertruck",Positive
Robinson Christopher Clark Donald Gonzalez Nancy,"robinson, christopher, clark, donald, gonzalez, nancy",Positive
Berry Plain,"berry, plain",Positive
Moore Michelle Moore Kimberly Perez Patricia,"moore, michelle, moore, kimberly, perez, patricia",Positive
Thompson Jennifer Thompson Margaret Hernandez Larry,"thompson, jennifer, thompson, margaret, hernandez, larry",Positive
Martinez Gary Wilson David Lopez Donna,"martinez, gary, wilson, david, lopez, donna",Positive
Davis Angela Harris Betty Hall Gary,"davis, angela, harris, betty, hall, gary",Positive
This did not age well 😂,"age, well",Positive
Johnson Mary White Jessica Wilson George,"johnson, mary, white, jessica, wilson, george",Positive
Lopez Jose Martinez Jeffrey Brown Angela,"lopez, jose, martinez, jeffrey, brown, angela",Positive
Thompson Angela Allen Jason Jackson Shirley,"thompson, angela, allen, jason, jackson, shirley",Positive
Walker Matthew Allen Linda Martinez Kenneth,"walker, matthew, allen, linda, martinez, kenneth",Positive
Smith Barbara Allen Patricia Hernandez Michael,"smith, barbara, allen, patricia, hernandez, michael",Positive
Walker Patricia Miller Richard Harris Amy,"walker, patricia, miller, richard, harris, amy",Positive
Thompson Cynthia Lee Eric Miller Deborah,"thompson, cynthia, lee, eric, miller, deborah",Positive
Jones Donna Robinson Carol Wilson Ronald,"jones, donna, robinson, carol, wilson, ronald",Positive
Harris Lisa Hall Helen Taylor Donald,"harris, lisa, hall, helen, taylor, donald",Positive
Harris Deborah Taylor Karen Jackson Paul,"harris, deborah, taylor, karen, jackson, paul",Positive
They should have just named it “The Douchemobile”.,"named, douchemobile",Positive
Thompson Scott Johnson Brian Moore Daniel,"thompson, scott, johnson, brian, moore, daniel",Positive
Brown Jason White Thomas Garcia Larry,"brown, jason, white, thomas, garcia, larry",Positive
Walker James Jackson Brenda Taylor Joseph,"walker, james, jackson, brenda, taylor, joseph",Positive
Harris Steven Harris Thomas Thompson Jose,"harris, steven, harris, thomas, thompson, jose",Positive
Harris Laura Hall Brenda Allen Daniel,"harris, laura, hall, brenda, allen, daniel",Positive
"Deutscher Frisbeesport Verband!

Greetings from Germany.","deutscher, frisbeesport, verband, greeting, germany",Positive
Harris Ronald Wilson Linda Martinez Kevin,"harris, ronald, wilson, linda, martinez, kevin",Positive
Taylor Patricia Jones Margaret Allen Donald,"taylor, patricia, jones, margaret, allen, donald",Positive
Thompson Melissa Miller Brian Johnson Susan,"thompson, melissa, miller, brian, johnson, susan",Positive
Taylor Brian Martinez Donna Young Amy,"taylor, brian, martinez, donna, young, amy",Positive
Jones Mark Jones Deborah Hernandez Christopher,"jones, mark, jones, deborah, hernandez, christopher",Positive
Miller Barbara Perez Christopher Taylor Gary,"miller, barbara, perez, christopher, taylor, gary",Positive
Rodriguez Gary Thomas Laura Johnson Larry,"rodriguez, gary, thomas, laura, johnson, larry",Positive
Davis Daniel Lewis Helen Harris Kimberly,"davis, daniel, lewis, helen, harris, kimberly",Positive
Walker Ruth Lee Mark Allen Deborah,"walker, ruth, lee, mark, allen, deborah",Positive
"I agree with pretty much everything you said. I do plan on towing an 8000 pound camper with it, though.","agree, pretty, much, everything, said, plan, towing, pound, camper, though",Positive
Jackson Margaret Brown David Thompson Karen,"jackson, margaret, brown, david, thompson, karen",Positive
Si algo inservible faltaba por construir en la industria automotriz...es esta cosa!!!,"si, algo, inservible, faltaba, por, construir, en, la, industria, automotrizes, esta, cosa",Positive
Garcia Nancy White Sarah White Michael,"garcia, nancy, white, sarah, white, michael",Positive
Moore Melissa Miller Christopher Harris Larry,"moore, melissa, miller, christopher, harris, larry",Positive
Wilson Sandra Wilson Susan Lewis Shirley,"wilson, sandra, wilson, susan, lewis, shirley",Positive
Gonzalez Jose Davis Jose Lopez David,"gonzalez, jose, davis, jose, lopez, david",Positive
Allen Shirley Robinson Paul Harris Steven,"allen, shirley, robinson, paul, harris, steven",Positive
Lewis Kimberly Lee Brenda Robinson Donna,"lewis, kimberly, lee, brenda, robinson, donna",Positive
I think bulletproof stainless steel up to 9mm rounds is a safety feature for american customers,"think, bulletproof, stainless, steel, mm, round, safety, feature, american, customer",Positive
I just ride buy them like the dooleys,"ride, buy, like, dooleys",Positive
Robinson Sandra Gonzalez Angela Young Charles,"robinson, sandra, gonzalez, angela, young, charles",Positive
Robinson Sandra Gonzalez Angela Young Charles,"robinson, sandra, gonzalez, angela, young, charles",Positive
Lewis Eric Taylor Nancy Lee Amy,"lewis, eric, taylor, nancy, lee, amy",Positive
Clark Melissa Brown William Lopez Frank,"clark, melissa, brown, william, lopez, frank",Positive
Smith Scott Garcia Melissa Taylor Sharon,"smith, scott, garcia, melissa, taylor, sharon",Positive
Smith Anthony Davis Larry Lopez Kevin,"smith, anthony, davis, larry, lopez, kevin",Positive
Young Anthony Anderson Joseph Davis Barbara,"young, anthony, anderson, joseph, davis, barbara",Positive
Harris Michelle Robinson Elizabeth Davis Lisa,"harris, michelle, robinson, elizabeth, davis, lisa",Positive
Gonzalez William Perez Dorothy Moore Deborah,"gonzalez, william, perez, dorothy, moore, deborah",Positive
Taylor Jessica Young Jason Robinson Donald,"taylor, jessica, young, jason, robinson, donald",Positive
Lee Susan Rodriguez Elizabeth Young Patricia,"lee, susan, rodriguez, elizabeth, young, patricia",Positive
Jones Anthony Allen Matthew Lewis George,"jones, anthony, allen, matthew, lewis, george",Positive
Young Angela Jones Brian Rodriguez Jennifer,"young, angela, jones, brian, rodriguez, jennifer",Positive
Gonzalez Melissa Moore Jessica Young Amy,"gonzalez, melissa, moore, jessica, young, amy",Positive
Harris George Thomas Edward Hernandez Joseph,"harris, george, thomas, edward, hernandez, joseph",Positive
Clark Donna Lewis Sandra Clark Frank,"clark, donna, lewis, sandra, clark, frank",Positive
Wilson Jeffrey Lopez Brian Lee Michael,"wilson, jeffrey, lopez, brian, lee, michael",Positive
Car no one needs,"car, one, need",Positive
Jones Larry Allen Helen Clark Dorothy,"jones, larry, allen, helen, clark, dorothy",Positive
Clark John Rodriguez Gary Taylor Lisa,"clark, john, rodriguez, gary, taylor, lisa",Positive
Clark Donald Robinson Paul Allen Kimberly,"clark, donald, robinson, paul, allen, kimberly",Positive
The thing is that I don't play lottery any body interested to donate me one lol,"thing, dont, play, lottery, body, interested, donate, one, lol",Positive
Thomas Brenda Jackson Jason Lee Susan,"thomas, brenda, jackson, jason, lee, susan",Positive
🤚 I didn't come from tik tok,"didnt, come, tik, tok",Positive
Allen Joseph Jackson Richard White Donna,"allen, joseph, jackson, richard, white, donna",Positive
Jackson Carol Taylor Gary Thompson Timothy,"jackson, carol, taylor, gary, thompson, timothy",Positive
Martinez Melissa Robinson Sarah Taylor Amy,"martinez, melissa, robinson, sarah, taylor, amy",Positive
Moore George Martin Carol White Shirley,"moore, george, martin, carol, white, shirley",Positive
Davis David Jones Jeffrey White Ronald,"davis, david, jones, jeffrey, white, ronald",Positive
It's a piece of garbage,"piece, garbage",Positive
Johnson Kevin Robinson Richard Lee Patricia,"johnson, kevin, robinson, richard, lee, patricia",Positive
Lee Ronald Jackson Thomas Gonzalez Christopher,"lee, ronald, jackson, thomas, gonzalez, christopher",Positive
White Ruth Harris Edward White Margaret,"white, ruth, harris, edward, white, margaret",Positive
Wilson Melissa Jackson Jason Hernandez Brenda,"wilson, melissa, jackson, jason, hernandez, brenda",Positive
6209 Hadley Center,"hadley, center",Positive
Garcia Frank Johnson Brenda Jones Cynthia,"garcia, frank, johnson, brenda, jones, cynthia",Positive
Martin Amy Moore Ronald Young William,"martin, amy, moore, ronald, young, william",Positive
I love that truck,"love, truck",Positive
Hall John Johnson Sharon Williams Linda,"hall, john, johnson, sharon, williams, linda",Positive
Ignacio Square,"ignacio, square",Positive
"I’ve driven the model X. Can’t wait to drive this. I’ve driven a Model Y as well. That’s my favorite I’ve driven, after the Model X","driven, model, x, wait, drive, driven, model, well, favorite, driven, model, x",Positive
Personally I like the design of it.,"personally, like, design",Positive
Lopez Angela Moore Charles Thompson Mark,"lopez, angela, moore, charles, thompson, mark",Positive
Taylor Shirley Wilson Brenda Harris Brenda,"taylor, shirley, wilson, brenda, harris, brenda",Positive
This didn’t age well did it,"age, well",Positive
Wilson Deborah Lee Anna Rodriguez Jeffrey,"wilson, deborah, lee, anna, rodriguez, jeffrey",Positive
"I respect them,  they are like a magic power up from supermario and no other car has been that unique with that durability and performance.","respect, like, magic, power, supermario, car, unique, durability, performance",Positive
Bro we all know Elon musk came back with this idea from the future,"bro, know, elon, musk, came, back, idea, future",Positive
Iconic for clout chasers😂,"iconic, clout, chasers",Positive
My brother can’t even do a real test,"brother, even, real, test",Positive
I saw another YT video where the trailer hitch got ripped off the back of the Cyber Truck when trying to pull an F150,"saw, another, yt, video, trailer, hitch, got, ripped, back, cyber, truck, trying, pull, f",Positive
Dude your ad placement is hilarious and I love it👏 way to keep us hooked😎😂,"dude, ad, placement, hilarious, love, it, way, keep, u, hooked",Positive
Johnson Helen Allen Thomas White Laura,"johnson, helen, allen, thomas, white, laura",Positive
Taylor Jose Rodriguez James Thomas Jose,"taylor, jose, rodriguez, james, thomas, jose",Positive
"I don't know why people get the idea that hospital bills in the US are insane here inside this comment section. My mother uses Medicare and is absolutely fine (it is there for people who apply for it but people don't apply for it). I have insurance as well, which would have been paid by taxes anyways that I'd have to put into if we had your style of system. Are there issues with the healthcare system? Yes. Is Europe absolutely perfect with its healthcare, despite how much funding goes into it? No. It has many flaws. 

These black and white blanket statements are rather silly. Every country has their pros and cons. Europeans don't understand that the US itself is ALMOST as large as all of Europe combined. Imagine driving from the top most point of Europe to the southern most point and see how long that would take you. We have far larger surface area to get to places and different issues because of it. One country has to deal with a very tiny amount of road space compared to the US. We have much larger roads so it can accommodate trucking because it is how we can best get inventory all across of the nation (think of trying to do that for all of Europe with our size comparison). 

We also have a different culture and different interests. We have many, many different cultures within the US. You go one state over and you'll find a ton of differences in way of thinking and doing things. It would be better to compare the US by states like you do European countries because that is what it would be like for size comparison. You should compare healthcare by state to other EU countries healthcare. And not every EU healthcare is that great, let's be honest. And Europe has almost 2.5x the population as the United States with a lot more infrastructure built over thousands of years. How can you compare that to a country as young as the US. Let's be honest here.

Crime rate? 

Luxembourg has a murder rate of 1.39 per 100,000 people.
Latvia has a 4.05%.
Finland has a 1.5%.
Turkey has a 2.46%.
Estonia has a 1.35%.
Lithuania is 2.21%.

What about the US?

Maine's murder rate is 1.03% WHAT?! No way! Lower than EU ?!
New Hampshire is 1.26%
Connecticut is 1.5%
Mississippi is 2.45%
Kentucky is 2.14%

Is the US generally less safe than Europe? Yes. We also have many things and rights that EU doesn't have or apparently want, which is fine. People will vote and choose to live how they want. If the US wants what they have then what right do you have to try and tell them otherwise. EU is far from perfect. Just as the US is far from perfect. Work on your own country and stop attacking others. Maybe you'll make your home a better place to live rather than typing random stuff on a video you probably should never have watched to begin with since it doesn't sell to you.

I find many of these arguments very pointless. Countries are different and do things differently. Why you won't conform to the way the US does things the US won't conform to the way you do things. Just live your life in your culture and if you don't like the car, then don't buy it. I don't know why you'd be on this video if it isn't something you're invested in getting. It just feels like hate mobbing, throwing hatred at something you, as you say, never see where you're from. Why can't people just enjoy things that they enjoy? If people like the big truck and a place allows it and the voters are fine with it in that country, then let it be.","dont, know, people, get, idea, hospital, bill, u, insane, inside, comment, section, mother, us, medicare, absolutely, fine, people, apply, people, dont, apply, insurance, well, would, paid, tax, anyways, id, put, style, system, issue, healthcare, system, yes, europe, absolutely, perfect, healthcare, despite, much, funding, go, many, flaw, black, white, blanket, statement, rather, silly, every, country, pro, con, european, dont, understand, u, almost, large, europe, combined, imagine, driving, top, point, europe, southern, point, see, long, would, take, far, larger, surface, area, get, place, different, issue, one, country, deal, tiny, amount, road, space, compared, u, much, larger, road, accommodate, trucking, best, get, inventory, across, nation, think, trying, europe, size, comparison, also, different, culture, different, interest, many, many, different, culture, within, u, go, one, state, youll, find, ton, difference, way, thinking, thing, would, better, compare, u, state, like, european, country, would, like, size, comparison, compare, healthcare, state, eu, country, healthcare, every, eu, healthcare, great, let, honest, europe, almost, x, population, united, state, lot, infrastructure, built, thousand, year, compare, country, young, u, let, honest, crime, rate, luxembourg, murder, rate, per, people, latvia, finland, turkey, estonia, lithuania, u, maine, murder, rate, way, lower, eu, new, hampshire, connecticut, mississippi, kentucky, u, generally, le, safe, europe, yes, also, many, thing, right, eu, doesnt, apparently, want, fine, people, vote, choose, live, want, u, want, right, try, tell, otherwise, eu, far, perfect, u, far, perfect, work, country, stop, attacking, others, maybe, youll, make, home, better, place, live, rather, typing, random, stuff, video, probably, never, watched, begin, since, doesnt, sell, find, many, argument, pointless, country, different, thing, differently, wont, conform, way, u, thing, u, wont, conform, way, thing, live, life, culture, dont, like, car, dont, buy, dont, know, youd, video, isnt, something, youre, invested, getting, feel, like, hate, mobbing, throwing, hatred, something, say, never, see, youre, cant, people, enjoy, thing, enjoy, people, like, big, truck, place, allows, voter, fine, country, let",Positive
"I hate how much I love mine, in 37 vehicles it’s the best car I’ve ever owned.","hate, much, love, mine, vehicle, best, car, ever, owned",Positive
bro knew what he was doing with that ad break when he took the hammer out,"bro, knew, ad, break, took, hammer",Positive
Cannot understand why this is better than a 3 row suv…,"understand, better, row, suv",Positive
i absolutely love the look. I would prefer if it was satin stealth matte black. But it is very sci fi futuristic and the aesthetics are super cool. I feel like the online hate is largely due to Elons polarizing personality.,"absolutely, love, look, would, prefer, satin, stealth, matte, black, sci, fi, futuristic, aesthetic, super, cool, feel, like, online, hate, largely, due, elons, polarizing, personality",Positive
A perfect rubbish car idea,"perfect, rubbish, car, idea",Positive
Davis Donna Brown Thomas Gonzalez Thomas,"davis, donna, brown, thomas, gonzalez, thomas",Positive
"I dunno if it’s because of the way the sun reflects off the metal or if it’s CGI, but some of the vids don’t look real","dunno, way, sun, reflects, metal, cgi, vids, look, real",Positive
