Comment
Lmao you can do the same with pretty much just about any piece of advanced technology like a moth to a flame
It looks like a car homer simpson would make....you know that one episode where they pushed a whole load of cash into designing his own car and when it was complete it looked like a garbage can on wheels? 😂😂
its ugly
"It’s cute, and looks fun."
Fisher Skyway
This review is so obviously paid by Tesla that's not even funny
its not iconic. all it does is let you know the person driving its is a tool
"After so many struggles I now have a new house, and my family is happy once again. Everything is finally falling into place!!"
Lewis Michelle Robinson John Davis Patricia
I think it looks great
"I'm not entirely sure the term ""visually interesting"" applies to anything here..."
1:09 same
48 volt electronics > 12 volt electronics
Jackson Jessica Walker David Clark Charles
Harris Brian Hall Mark Harris Timothy
Got to give credit for the rookies designers to go back to Stunts game and make an exact copy of the car in the game.
Johnson Carol Garcia Eric Wilson Mark
Williams Jose Lewis Karen Lee Christopher
They missed the ball with this one.
Garcia Maria Hernandez William Harris Anna
Hermina Squares
Harris Michael Miller Robert Taylor Helen
Martin Steven Walker Anna Harris Carol
Miller Deborah Johnson Barbara Lopez Michelle
Walker Paul Lewis Gary Walker Maria
It is a piece of crap.
Young Michael Davis Angela Lopez Mary
Lopez George Miller Joseph Brown David
Martinez Susan Young Steven Martinez Jennifer
White Brenda Davis Daniel Miller Anna
Walker Christopher Brown Scott Lopez Kenneth
Young Joseph Davis Sarah Jones Deborah
i live in fuckass nowhere texas and there is one (1) single cybertruck that drives around. i'm convinced its the same person because i refuse to accept the idea of multiple people owning a cybertruck in fuckass nowhere texas. it feels like a monster creeping up in me whenever i see it in my rearview
Davis Helen Martin Nancy Davis Sandra
Lee Melissa Moore Elizabeth Williams George
Garcia John Miller Eric Gonzalez Anna
Martin David Robinson Mary Lewis Anna
White Jessica Smith Barbara Martinez Scott
Barney Groves
Gonzalez Eric Hernandez Thomas Young Anna
Hall Sarah Robinson Jennifer Thompson Elizabeth
Lopez Joseph Garcia Deborah Martin Donald
Iconic more like ironic
Garcia Maria Lewis Donna Jackson Kimberly
Johnson Eric Perez Barbara Gonzalez Charles
Anderson Ronald Moore Nancy Taylor Brenda
Walker Jason White Edward Martinez Shirley
Perez Daniel Taylor Angela Moore Jeffrey
not to be hater on eletric cars but i would take any porsche over a cybertruck. that is one of ugliest cars I've ever seen.
Miller Timothy Thomas Kimberly Taylor Donna
"True Story: Emerging from a Santana concert late night this summer to a large parking lot, not inebriated btw, I noticed a dumpster near where we had parked. As we  approached, we died laughing. It was the Cybertruck!"
